LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,1
Baskerville Correctional Center,0,0,0,249,0
Bland Correctional Center,0,0,0,191,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,0,4,648,4
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,58,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,0,0,0,31,0
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,2
Dillwyn Correctional Center,0,0,2,567,0
Fluvanna Correctional Center for Women,1,0,0,653,2
Green Rock Correctional Center,0,0,0,233,2
Greensville Correctional Center (includes Greensville Work Center),0,0,2,722,6
Halifax Correctional Unit,0,0,0,130,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,480,3
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,104,0
Keen Mountain Correctional Center,0,0,1,15,2
Lawrenceville Correctional Center,0,0,1,101,0
Lunenburg Correctional Center,0,0,1,119,0
Marion Correctional Treatment Center,0,0,2,89,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,2,539,0
Patrick Henry Correctional Unit,0,0,0,60,0
Pocahontas State Correctional Center,0,0,3,245,2
Red Onion State Prison,0,0,0,61,0
River North Correctional Center,0,0,0,2,3
Rustburg Correctional Unit,0,0,0,29,0
St. Brides Correctional Center,0,0,0,459,1
Stafford Men’s CCAP,0,0,0,8,0
State Farm Correctional Complex,0,0,10,493,1
Sussex I State Prison,1,0,0,179,5
Sussex II State Prison,2,0,1,188,2
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,72,1
Wallens Ridge State Prison,0,0,0,20,1
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,1
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,4,0,56,9012,44
