Location,Offenders on‑site,Offenders in hospitals,Death of COVID‑19 positive offender,Staff (includes both employees & contractors)
Appalachian Men’s CCAP,0,0,0,0
Augusta Correctional Center,0,0,0,0
Baskerville Correctional Center,0,0,0,0
Bland Correctional Center,0,0,0,0
Brunswick CCAP,0,0,0,1
Buckingham Correctional Center,0,0,0,0
Caroline Correctional Unit,0,0,0,0
Central Virginia Correctional Unit #13,49,0,0,2
Chesterfield Women’s CCAP,0,0,0,0
Coffeewood Correctional Center,0,0,0,0
Cold Springs CCAP,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,1,0,3
Dillwyn Correctional Center,0,0,0,0
Fluvanna Correctional Center for Women,0,0,0,1
Green Rock Correctional Center,0,0,0,0
Greensville Correctional Center (includes Greensville Work Center),0,0,0,2
Halifax Correctional Unit,0,0,0,0
Harrisonburg Men’s CCAP,17,0,0,0
Haynesville Correctional Center,47,2,0,2
Haynesville Correctional Unit #17,0,0,0,0
Indian Creek Correctional Center,0,0,0,0
Keen Mountain Correctional Center,0,0,0,0
Lawrenceville Correctional Center,0,0,0,0
Lunenburg Correctional Center,0,0,0,0
Marion Correctional Treatment Center,0,0,0,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,0
Patrick Henry Correctional Unit,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0
Red Onion State Prison,0,0,0,0
River North Correctional Center,0,0,0,0
Rustburg Correctional Unit,0,0,0,0
St. Brides Correctional Center,0,0,0,0
Stafford Men’s CCAP,0,0,0,0
State Farm Correctional Complex,0,0,0,2
Sussex I State Prison,0,0,0,0
Sussex II State Prison,15,2,0,2
Virginia Correctional Center for Women (includes State Farm Work Center),13,3,1,35
Wallens Ridge State Prison,0,0,0,0
Wise Correctional Unit,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,0
Totals,141,8,1,52
"Total number of offenders who have tested positive This number includes those offenders with active COVID-19 cases, those who have recovered from COVID-19, deaths of COVID-19 positive offenders, and those who have been released from incarceration",174,,,
