LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,2,0,0,2,3
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,34,1,4,211,4
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,207,4,0,323,20
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,6
Dillwyn Correctional Center,0,0,2,347,0
Fluvanna Correctional Center for Women,0,0,0,172,3
Green Rock Correctional Center,5,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),1,0,2,686,9
Halifax Correctional Unit,0,0,0,0,1
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,1
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,1
Keen Mountain Correctional Center,0,0,0,9,2
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,0,0,0,3,0
Marion Correctional Treatment Center,0,0,0,2,1
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,0
Patrick Henry Correctional Unit,0,0,0,0,2
Pocahontas State Correctional Center,0,0,0,0,1
Red Onion State Prison,0,0,0,20,0
River North Correctional Center,0,0,0,0,3
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,315,0
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,3,2,2,172,8
Sussex I State Prison,2,0,0,160,0
Sussex II State Prison,0,0,1,74,0
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,1
Wallens Ridge State Prison,0,0,0,0,2
Wise Correctional Unit,0,0,0,16,1
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,3
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,254,7,33,4235,81
