LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men's CCAP,0,0,0,50,0
Augusta Correctional Center,0,0,5,585,5
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,4
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,4,0,4,648,3
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women's CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,4
Cold Springs CCAP,0,0,0,31,0
Cold Springs Correctional Unit #10,0,0,0,64,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,5
Dillwyn Correctional Center,63,1,2,560,7
Fluvanna Correctional Center for Women,97,0,0,644,9
Green Rock Correctional Center,130,0,0,233,11
Greensville Correctional Center (includes Greensville Work Center),16,0,2,716,23
Halifax Correctional Unit,0,0,0,130,0
Harrisonburg Men's CCAP,0,0,0,26,0
Haynesville Correctional Center,96,0,1,472,1
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,47,1,0,103,6
Keen Mountain Correctional Center,0,0,1,15,2
Lawrenceville Correctional Center,0,0,1,101,1
Lunenburg Correctional Center,0,0,1,119,2
Marion Correctional Treatment Center,0,0,2,89,0
Nottoway Correctional Center (includes Nottoway Work Center),10,0,1,531,1
Patrick Henry Correctional Unit,1,0,0,60,2
Pocahontas State Correctional Center,13,0,3,244,2
Red Onion State Prison,22,0,0,61,2
River North Correctional Center,0,0,0,2,2
Rustburg Correctional Unit,28,0,0,29,5
St. Brides Correctional Center,0,0,0,458,2
Stafford Men's CCAP,0,0,0,8,0
State Farm Correctional Complex,0,1,9,493,4
Sussex I State Prison,0,0,0,178,3
Sussex II State Prison,1,0,1,184,7
Virginia Correctional Center for Women (includes State Farm Work Center),15,0,1,72,2
Wallens Ridge State Prison,6,0,0,20,1
Wise Correctional Unit,0,0,0,24,0
Probation & Parole - Eastern Region,n/a,n/a,n/a,n/a,3
Probation & Parole - Central Region,n/a,n/a,n/a,n/a,2
Probation & Parole - Western Region,n/a,n/a,n/a,n/a,1
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,549,3,54,8959,123
