LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,1,0,0,1,1
Augusta Correctional Center,41,1,0,42,19
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,89,3,0,144,35
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,118,0,4,345,3
Caroline Correctional Unit,6,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,3,0,1,590,29
Cold Springs CCAP,0,0,0,0,3
Cold Springs Correctional Unit #10,11,0,0,11,3
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,4
Dillwyn Correctional Center,1,0,2,350,1
Fluvanna Correctional Center for Women,19,0,0,193,10
Green Rock Correctional Center,0,0,0,102,1
Greensville Correctional Center (includes Greensville Work Center),0,0,2,690,10
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,5,0,1,261,6
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,3
Lawrenceville Correctional Center,0,0,1,95,1
Lunenburg Correctional Center,0,0,0,4,2
Marion Correctional Treatment Center,0,0,0,2,6
Nottoway Correctional Center (includes Nottoway Work Center),211,0,0,212,7
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,25,0,0,25,11
Red Onion State Prison,0,0,0,20,17
River North Correctional Center,0,0,0,2,5
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,3,0,0,344,2
Stafford Men’s CCAP,1,0,0,2,1
State Farm Correctional Complex,51,1,3,230,18
Sussex I State Prison,0,0,0,161,2
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,0,0,0,1,7
Wise Correctional Unit,8,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,5
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,593,5,35,5213,227
