LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,35,0,0,50,6
Augusta Correctional Center,148,8,2,432,57
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,22,0,0,185,14
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,171,0,4,549,12
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,2,0,1,673,6
Cold Springs CCAP,20,0,0,20,3
Cold Springs Correctional Unit #10,25,0,0,64,6
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,5
Dillwyn Correctional Center,0,0,2,350,2
Fluvanna Correctional Center for Women,108,0,0,337,44
Green Rock Correctional Center,0,0,0,102,4
Greensville Correctional Center (includes Greensville Work Center),1,0,2,697,17
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,58,0,1,314,6
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,3
Keen Mountain Correctional Center,0,0,0,14,2
Lawrenceville Correctional Center,3,0,1,98,0
Lunenburg Correctional Center,66,1,0,71,1
Marion Correctional Treatment Center,13,2,0,15,13
Nottoway Correctional Center (includes Nottoway Work Center),214,0,1,429,28
Patrick Henry Correctional Unit,35,0,0,35,2
Pocahontas State Correctional Center,36,1,3,213,20
Red Onion State Prison,1,0,0,25,18
River North Correctional Center,0,0,0,2,2
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,0,0,0,377,0
Stafford Men’s CCAP,0,0,0,8,4
State Farm Correctional Complex,146,4,5,382,40
Sussex I State Prison,13,1,0,175,14
Sussex II State Prison,2,0,1,76,2
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,1
Wallens Ridge State Prison,0,0,0,1,8
Wise Correctional Unit,0,0,0,24,2
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,5
Administration & Operations,n/a,n/a,n/a,n/a,1
Totals,1121,17,43,6995,358
