LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men's CCAP,0,0,0,50,1
Augusta Correctional Center,90,0,5,585,31
Baskerville Correctional Center,0,0,0,249,1
Bland Correctional Center,0,0,0,185,8
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,34,1,4,643,17
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,2
Chesterfield Women's CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,2
Cold Springs CCAP,4,0,0,31,1
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,14
Dillwyn Correctional Center,1,1,2,352,9
Fluvanna Correctional Center for Women,43,0,0,400,14
Green Rock Correctional Center,0,0,0,102,4
Greensville Correctional Center (includes Greensville Work Center),1,0,2,698,30
Halifax Correctional Unit,127,0,0,131,11
Harrisonburg Men's CCAP,0,0,0,26,0
Haynesville Correctional Center,168,0,1,426,11
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,4
Keen Mountain Correctional Center,0,0,1,15,8
Lawrenceville Correctional Center,1,0,1,99,2
Lunenburg Correctional Center,9,0,1,119,3
Marion Correctional Treatment Center,56,1,1,89,17
Nottoway Correctional Center (includes Nottoway Work Center),57,1,1,512,19
Patrick Henry Correctional Unit,20,0,0,59,3
Pocahontas State Correctional Center,5,0,3,224,6
Red Onion State Prison,3,0,0,29,5
River North Correctional Center,0,0,0,2,4
Rustburg Correctional Unit,0,0,0,0,3
St. Brides Correctional Center,0,0,0,422,8
Stafford Men's CCAP,0,0,0,8,0
State Farm Correctional Complex,11,3,7,490,41
Sussex I State Prison,0,0,0,177,13
Sussex II State Prison,65,2,1,147,13
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,5
Wallens Ridge State Prison,0,0,0,1,4
Wise Correctional Unit,0,0,0,24,0
Probation & Parole - Eastern Region,n/a,n/a,n/a,n/a,4
Probation & Parole - Central Region,n/a,n/a,n/a,n/a,4
Probation & Parole - Western Region,n/a,n/a,n/a,n/a,9
Administration & Operations,n/a,n/a,n/a,n/a,5
Totals,695,9,51,8035,337
