LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,5,0,0,5,2
Augusta Correctional Center,328,4,0,332,56
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,105,2,0,163,29
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,49,0,4,384,5
Caroline Correctional Unit,6,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,55,1,1,644,22
Cold Springs CCAP,3,0,0,3,4
Cold Springs Correctional Unit #10,52,0,0,52,8
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,7
Dillwyn Correctional Center,1,0,2,350,1
Fluvanna Correctional Center for Women,69,1,0,244,15
Green Rock Correctional Center,0,0,0,102,2
Greensville Correctional Center (includes Greensville Work Center),6,0,2,696,11
Halifax Correctional Unit,0,0,0,0,2
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,43,2,1,301,4
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,5
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,0,0,0,4,3
Marion Correctional Treatment Center,0,0,0,2,6
Nottoway Correctional Center (includes Nottoway Work Center),210,2,0,213,14
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,183,1,0,184,21
Red Onion State Prison,4,0,0,24,13
River North Correctional Center,0,0,0,2,7
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,36,0,0,377,3
Stafford Men’s CCAP,3,0,0,4,4
State Farm Correctional Complex,57,2,3,238,19
Sussex I State Prison,0,0,0,161,2
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,0,0,0,1,4
Wise Correctional Unit,7,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,3
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,7
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,1222,15,35,5967,290
