LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,32,0,0,33,2
Augusta Correctional Center,328,3,1,332,62
Baskerville Correctional Center,0,0,0,249,3
Bland Correctional Center,45,0,0,176,17
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,60,0,4,397,8
Caroline Correctional Unit,2,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,82,0,1,672,16
Cold Springs CCAP,5,0,0,6,4
Cold Springs Correctional Unit #10,49,1,0,54,10
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,835,7
Dillwyn Correctional Center,1,0,2,350,0
Fluvanna Correctional Center for Women,118,0,0,299,26
Green Rock Correctional Center,0,0,0,102,5
Greensville Correctional Center (includes Greensville Work Center),6,0,2,696,10
Halifax Correctional Unit,0,0,0,0,3
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,48,1,1,305,7
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,2
Keen Mountain Correctional Center,0,0,0,14,5
Lawrenceville Correctional Center,0,0,1,95,0
Lunenburg Correctional Center,32,0,0,36,5
Marion Correctional Treatment Center,0,0,0,2,8
Nottoway Correctional Center (includes Nottoway Work Center),108,1,0,319,18
Patrick Henry Correctional Unit,0,0,0,0,1
Pocahontas State Correctional Center,191,3,0,194,21
Red Onion State Prison,4,0,0,24,5
River North Correctional Center,0,0,0,2,6
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,36,0,0,377,2
Stafford Men’s CCAP,6,0,0,8,8
State Farm Correctional Complex,15,7,3,250,22
Sussex I State Prison,1,1,0,162,6
Sussex II State Prison,0,0,1,74,1
Virginia Correctional Center for Women (includes State Farm Work Center),1,0,1,47,5
Wallens Ridge State Prison,0,0,0,1,6
Wise Correctional Unit,0,0,0,24,2
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,1
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,7
Administration & Operations,n/a,n/a,n/a,n/a,0
Totals,1170,17,36,6279,312
