LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,10,0,0,124,7
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,1,4,165,2
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,2,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,1,78,4
Dillwyn Correctional Center,0,0,2,347,0
Fluvanna Correctional Center for Women,0,0,0,8,3
Green Rock Correctional Center,5,1,0,96,9
Greensville Correctional Center (includes Greensville Work Center),124,2,1,624,37
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,0
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,6,0,0,54,3
Keen Mountain Correctional Center,2,2,0,5,1
Lawrenceville Correctional Center,0,1,0,93,6
Lunenburg Correctional Center,0,0,0,3,1
Marion Correctional Treatment Center,0,0,0,1,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,0
Patrick Henry Correctional Unit,0,0,0,0,2
Pocahontas State Correctional Center,0,0,0,0,1
Red Onion State Prison,20,0,0,20,7
River North Correctional Center,0,0,0,0,1
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,48,1,0,315,7
Stafford Men’s CCAP,0,0,0,1,0
State Farm Correctional Complex,0,0,2,160,3
Sussex I State Prison,0,0,0,2,2
Sussex II State Prison,0,0,1,73,4
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,2
Wallens Ridge State Prison,0,0,0,0,1
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,2
TOTALS,215,8,13,2557,106
