LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,50,1
Augusta Correctional Center,149,2,5,584,46
Baskerville Correctional Center,0,0,0,249,4
Bland Correctional Center,0,0,0,185,11
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,98,2,4,634,19
Caroline Correctional Unit,0,0,0,6,0
Central Virginia Correctional Unit #13,0,0,0,57,0
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,1,674,1
Cold Springs CCAP,9,0,0,28,2
Cold Springs Correctional Unit #10,0,0,0,64,1
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,19,837,8
Dillwyn Correctional Center,0,0,2,350,4
Fluvanna Correctional Center for Women,28,0,0,360,25
Green Rock Correctional Center,1,0,0,103,5
Greensville Correctional Center (includes Greensville Work Center),0,0,2,697,25
Halifax Correctional Unit,5,0,0,5,2
Harrisonburg Men’s CCAP,0,0,0,26,1
Haynesville Correctional Center,117,0,1,375,13
Haynesville Correctional Unit #17,0,0,0,1,0
Indian Creek Correctional Center,0,0,0,54,1
Keen Mountain Correctional Center,0,0,1,15,8
Lawrenceville Correctional Center,0,1,1,99,1
Lunenburg Correctional Center,36,1,0,111,3
Marion Correctional Treatment Center,75,1,1,89,30
Nottoway Correctional Center (includes Nottoway Work Center),50,2,1,495,17
Patrick Henry Correctional Unit,27,0,0,59,13
Pocahontas State Correctional Center,10,0,3,221,10
Red Onion State Prison,1,0,0,27,10
River North Correctional Center,0,0,0,2,8
Rustburg Correctional Unit,0,0,0,0,1
St. Brides Correctional Center,42,0,0,422,6
Stafford Men’s CCAP,0,0,0,8,1
State Farm Correctional Complex,100,4,5,485,40
Sussex I State Prison,2,0,0,177,9
Sussex II State Prison,71,0,1,147,13
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,47,5
Wallens Ridge State Prison,0,0,0,1,11
Wise Correctional Unit,0,0,0,24,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,4
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,8
Administration & Operations,n/a,n/a,n/a,n/a,2
Totals,821,13,48,7768,373
