LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,TOTAL POSITIVE OFFENDERS onsite + hospital + deaths + releases + recovered + transfers in - transfers out,STAFF active cases including employees & contractors
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,116,0,0,116,4
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,0
Buckingham Correctional Center,0,1,4,165,3
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,0,0,0,57,1
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,1,0,0,1,1
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,1,78,4
Dillwyn Correctional Center,0,0,2,347,0
Fluvanna Correctional Center for Women,0,0,0,8,0
Green Rock Correctional Center,18,1,0,19,10
Greensville Correctional Center (includes Greensville Work Center),28,2,1,286,57
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,0,0,0,26,0
Haynesville Correctional Center,0,0,1,256,0
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,47,1,0,49,4
Keen Mountain Correctional Center,0,0,0,3,0
Lawrenceville Correctional Center,30,3,0,89,5
Lunenburg Correctional Center,3,0,0,3,3
Marion Correctional Treatment Center,0,0,0,1,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,1,3
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,0,1
River North Correctional Center,0,0,0,0,3
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,256,1,0,263,12
Stafford Men’s CCAP,1,0,0,1,0
State Farm Correctional Complex,0,0,2,160,1
Sussex I State Prison,0,0,0,2,3
Sussex II State Prison,0,0,1,73,6
Virginia Correctional Center for Women (includes State Farm Work Center),0,0,1,46,3
Wallens Ridge State Prison,0,0,0,0,1
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,2
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
TOTALS,500,9,13,2050,129
