LOCATION,OFFENDERS ON‑SITE,OFFENDERS IN HOSPITALS,DEATH OF COVID‑19 POSITIVE OFFENDER,"TOTAL POSITIVE OFFENDERS (includes active, recovered, deceased, & released offenders)",STAFF (includes both employees & contractors)
Appalachian Men’s CCAP,0,0,0,0,0
Augusta Correctional Center,0,0,0,0,0
Baskerville Correctional Center,0,0,0,0,0
Bland Correctional Center,0,0,0,0,0
Brunswick CCAP,0,0,0,0,1
Buckingham Correctional Center,6,1,0,7,2
Caroline Correctional Unit,0,0,0,0,0
Central Virginia Correctional Unit #13,47,0,0,57,3
Chesterfield Women’s CCAP,0,0,0,0,0
Coffeewood Correctional Center,0,0,0,0,0
Cold Springs CCAP,0,0,0,0,0
Cold Springs Correctional Unit #10,0,0,0,0,0
Deerfield Correctional Center (includes Deerfield Work Centers),63,1,1,65,9
Dillwyn Correctional Center,36,1,0,37,5
Fluvanna Correctional Center for Women,0,0,0,0,1
Green Rock Correctional Center,0,0,0,0,0
Greensville Correctional Center (includes Greensville Work Center),0,0,0,0,2
Halifax Correctional Unit,0,0,0,0,0
Harrisonburg Men’s CCAP,8,0,0,25,0
Haynesville Correctional Center,106,1,0,107,5
Haynesville Correctional Unit #17,0,0,0,0,0
Indian Creek Correctional Center,0,0,0,0,1
Keen Mountain Correctional Center,0,0,0,0,0
Lawrenceville Correctional Center,0,0,0,0,0
Lunenburg Correctional Center,0,0,0,0,0
Marion Correctional Treatment Center,0,0,0,0,0
Nottoway Correctional Center (includes Nottoway Work Center),0,0,0,0,0
Patrick Henry Correctional Unit,0,0,0,0,0
Pocahontas State Correctional Center,0,0,0,0,0
Red Onion State Prison,0,0,0,0,0
River North Correctional Center,0,0,0,0,0
Rustburg Correctional Unit,0,0,0,0,0
St. Brides Correctional Center,0,0,0,0,0
Stafford Men’s CCAP,0,0,0,0,0
State Farm Correctional Complex,0,0,0,0,1
Sussex I State Prison,0,0,0,0,0
Sussex II State Prison,22,2,0,24,6
Virginia Correctional Center for Women (includes State Farm Work Center),15,1,1,42,30
Wallens Ridge State Prison,0,0,0,0,0
Wise Correctional Unit,0,0,0,0,0
Probation & Parole — Eastern Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Central Region,n/a,n/a,n/a,n/a,0
Probation & Parole — Western Region,n/a,n/a,n/a,n/a,0
Administration & Operations,n/a,n/a,n/a,n/a,0
TOTALS,303,7,2,364,66
