"Administration Date",FIPS,Locality,"Health District","Facility Type","Vaccine Manufacturer","Dose Number","Vaccine Doses Administered Count"
02/05/2021,51183,Sussex,Crater,"Local Health Departments",Moderna,1,1
01/05/2021,51107,Loudoun,Loudoun,"Federal LTCF Program",Pfizer,1,16
01/29/2021,51131,Northampton,"Eastern Shore","Medical Practices",Moderna,1,1
12/30/2020,"Out of State","Out of State","Out of State","Federal LTCF Program",Pfizer,1,1
01/07/2021,51003,Albemarle,"Blue Ridge",Hospitals,Pfizer,2,16
02/08/2021,51015,Augusta,"Central Shenandoah","Medical Practices",Pfizer,1,1
02/08/2021,51740,Portsmouth,Portsmouth,"Local Health Departments",Moderna,2,3
01/28/2021,51003,Albemarle,"Blue Ridge","Medical Practices",Moderna,2,2
02/06/2021,51179,Stafford,Rappahannock,"Local Health Departments",Moderna,1,1
02/06/2021,"Out of State","Out of State","Out of State","Medical Practices",Pfizer,1,2
01/26/2021,51007,Amelia,Piedmont,"Local Health Departments",Moderna,1,1
01/16/2021,51063,Floyd,"New River","Federal LTCF Program",Pfizer,1,1
01/05/2021,51145,Powhatan,Chesterfield,Hospitals,Moderna,1,18
01/04/2021,51109,Louisa,"Blue Ridge",Hospitals,Pfizer,2,1
01/25/2021,51057,Essex,"Three Rivers",Hospitals,Pfizer,1,1
01/13/2021,"Out of State","Out of State","Out of State",Hospitals,Pfizer,2,17
12/31/2020,51105,Lee,Lenowisco,"Federal LTCF Program",Pfizer,1,1
01/29/2021,51145,Powhatan,Chesterfield,"Medical Practices",Moderna,1,8
01/15/2021,51137,Orange,"Rappahannock Rapidan",Hospitals,Pfizer,1,7
01/26/2021,51740,Portsmouth,Portsmouth,"Local Health Departments",Moderna,1,195
02/06/2021,51059,Fairfax,Fairfax,"Medical Practices",Pfizer,2,1
02/03/2021,"Not Reported","Not Reported","Not Reported","Other Community Health Providers",Pfizer,1,38
02/09/2021,51157,Rappahannock,"Rappahannock Rapidan",Hospitals,Pfizer,2,1
01/22/2021,51610,"Falls Church",Fairfax,"Medical Practices",Moderna,1,7
01/26/2021,51770,"Roanoke City",Roanoke,"Medical Practices",Moderna,2,8
01/13/2021,51191,Washington,"Mount Rogers",Pharmacies,Moderna,1,67
01/29/2021,51163,Rockbridge,"Central Shenandoah","Medical Practices",Moderna,2,4
12/30/2020,51037,Charlotte,Piedmont,Hospitals,Moderna,1,20
02/02/2021,51001,Accomack,"Eastern Shore","Federal LTCF Program",Pfizer,2,2
01/17/2021,51023,Botetourt,Alleghany,"Federal LTCF Program",Pfizer,1,1
01/19/2021,51143,Pittsylvania,Pittsylvania-Danville,Hospitals,Moderna,1,1
01/28/2021,51137,Orange,"Rappahannock Rapidan","Other Community Health Providers",Pfizer,2,1
01/04/2021,51810,"Virginia Beach","Virginia Beach","Local Health Departments",Moderna,1,49
01/19/2021,51540,Charlottesville,"Blue Ridge","Local Health Departments",Moderna,1,56
02/07/2021,51179,Stafford,Rappahannock,Pharmacies,Moderna,1,2
01/20/2021,51197,Wythe,"Mount Rogers",Pharmacies,Moderna,1,7
01/22/2021,51089,Henry,"West Piedmont",Hospitals,Pfizer,2,2
01/19/2021,"Not Reported","Not Reported","Not Reported","Other Community Health Providers",Pfizer,1,18
01/18/2021,51121,Montgomery,"New River",Hospitals,Moderna,1,52
01/24/2021,51121,Montgomery,"New River",Hospitals,Pfizer,2,1
02/07/2021,51179,Stafford,Rappahannock,"Local Health Departments",Moderna,2,39
01/08/2021,51670,Hopewell,Crater,"Federal LTCF Program",Pfizer,1,3
01/26/2021,51810,"Virginia Beach","Virginia Beach",Hospitals,Pfizer,1,231
01/16/2021,51073,Gloucester,"Three Rivers",Hospitals,Pfizer,2,7
12/19/2020,51510,Alexandria,Alexandria,Hospitals,Pfizer,1,31
01/09/2021,51121,Montgomery,"New River","Local Health Departments",Moderna,1,5
01/13/2021,51177,Spotsylvania,Rappahannock,"Medical Practices",Moderna,1,4
01/28/2021,51127,"New Kent",Chickahominy,"Medical Practices",Moderna,1,13
01/20/2021,51075,Goochland,Chickahominy,"Medical Practices",Pfizer,1,1
01/24/2021,51097,"King and Queen","Three Rivers",Pharmacies,Moderna,1,1
01/29/2021,"Out of State","Out of State","Out of State",Hospitals,Pfizer,1,1
02/06/2021,"Not Reported","Not Reported","Not Reported","Federal LTCF Program",Moderna,1,8
02/01/2021,51690,Martinsville,"West Piedmont","Medical Practices",Moderna,1,1
01/22/2021,51191,Washington,"Mount Rogers","Other Community Health Providers",Pfizer,1,145
01/22/2021,51103,Lancaster,"Three Rivers",Hospitals,Moderna,1,2
02/04/2021,51139,Page,"Lord Fairfax",Hospitals,Pfizer,2,1
01/20/2021,51083,Halifax,Southside,"Local Health Departments",Moderna,2,1
02/09/2021,51187,Warren,"Lord Fairfax",Hospitals,Pfizer,2,3
01/18/2021,"Out of State","Out of State","Out of State","Other Community Health Providers",Pfizer,1,1
01/05/2021,51683,"Manassas City","Prince William","Other Community Health Providers",Moderna,1,1
12/28/2020,"Out of State","Out of State","Out of State",Hospitals,Pfizer,1,6
01/20/2021,51043,Clarke,"Lord Fairfax",Hospitals,Moderna,2,3
01/18/2021,"Out of State","Out of State","Out of State",Hospitals,Pfizer,2,4
02/05/2021,51187,Warren,"Lord Fairfax","Medical Practices",Moderna,1,2
01/12/2021,51820,Waynesboro,"Central Shenandoah","Local Health Departments",Moderna,1,24
01/21/2021,51199,York,Peninsula,"Local Health Departments",Moderna,1,10
02/03/2021,51095,"James City",Peninsula,"Local Health Departments",Pfizer,1,4
01/15/2021,51125,Nelson,"Blue Ridge","Other Community Health Providers",Pfizer,1,16
01/13/2021,51041,Chesterfield,Chesterfield,"Other Community Health Providers",Pfizer,2,5
12/17/2020,"Out of State","Out of State","Out of State","Medical Practices",Pfizer,1,2
01/08/2021,"Not Reported","Not Reported","Not Reported","Other Community Health Providers",Pfizer,1,26
02/02/2021,51660,Harrisonburg,"Central Shenandoah","Local Health Departments",Moderna,1,14
01/12/2021,51135,Nottoway,Piedmont,"Federal LTCF Program",Pfizer,1,1
01/06/2021,51760,"Richmond City",Richmond,"Other Community Health Providers",Moderna,1,10
12/20/2020,"Not Reported","Not Reported","Not Reported","Other Community Health Providers",Pfizer,1,1
02/05/2021,51019,Bedford,"Central Virginia",Hospitals,Pfizer,2,41
01/25/2021,51059,Fairfax,Fairfax,"Medical Practices","Not Reported",1,1
02/05/2021,51059,Fairfax,Fairfax,Hospitals,Pfizer,2,1213
01/12/2021,51021,Bland,"Mount Rogers",Pharmacies,Moderna,1,1
01/12/2021,"Not Reported","Not Reported","Not Reported",Hospitals,Moderna,1,53
02/09/2021,51141,Patrick,"West Piedmont",Pharmacies,Moderna,1,13
01/29/2021,51570,"Colonial Heights",Chesterfield,Pharmacies,Moderna,2,1
01/06/2021,51155,Pulaski,"New River","Federal LTCF Program",Pfizer,1,2
12/18/2020,"Out of State","Out of State","Out of State","Medical Practices",Pfizer,1,1
02/02/2021,51139,Page,"Lord Fairfax","Local Health Departments",Moderna,2,3
02/01/2021,51810,"Virginia Beach","Virginia Beach",Hospitals,Moderna,2,3
12/30/2020,51760,"Richmond City",Richmond,"Medical Practices",Pfizer,1,2
01/25/2021,51043,Clarke,"Lord Fairfax",Hospitals,Pfizer,1,1
01/13/2021,51021,Bland,"Mount Rogers",Hospitals,Moderna,1,1
02/04/2021,51041,Chesterfield,Chesterfield,"Local Health Departments",Moderna,2,23
01/19/2021,51760,"Richmond City",Richmond,Hospitals,Moderna,2,18
01/28/2021,"Out of State","Out of State","Out of State",Hospitals,Moderna,2,1
02/01/2021,51179,Stafford,Rappahannock,"Federal LTCF Program",Pfizer,1,5
02/09/2021,51085,Hanover,Chickahominy,Hospitals,Pfizer,2,15
01/08/2021,51770,"Roanoke City",Roanoke,Hospitals,Pfizer,2,53
01/27/2021,51143,Pittsylvania,Pittsylvania-Danville,"Local Health Departments",Pfizer,1,3
01/21/2021,51197,Wythe,"Mount Rogers",Hospitals,Moderna,1,2
01/29/2021,51660,Harrisonburg,"Central Shenandoah",Pharmacies,Moderna,1,3
02/06/2021,"Out of State","Out of State","Out of State",Hospitals,Pfizer,1,5
01/21/2021,51065,Fluvanna,"Blue Ridge","Local Health Departments",Moderna,1,31
12/29/2020,51131,Northampton,"Eastern Shore",Hospitals,Pfizer,1,1
12/18/2020,51009,Amherst,"Central Virginia",Hospitals,Pfizer,1,26
02/05/2021,51085,Hanover,Chickahominy,"Medical Practices",Moderna,1,3
01/08/2021,51021,Bland,"Mount Rogers",Hospitals,Pfizer,2,1
01/04/2021,51670,Hopewell,Crater,Hospitals,Moderna,1,5
01/05/2021,51775,Salem,Alleghany,"Medical Practices",Pfizer,1,9
01/14/2021,51033,Caroline,Rappahannock,"Local Health Departments",Moderna,1,27
02/03/2021,51083,Halifax,Southside,Hospitals,Pfizer,1,2
02/04/2021,51179,Stafford,Rappahannock,Hospitals,Moderna,1,657
01/26/2021,51117,Mecklenburg,Southside,"Local Health Departments",Moderna,1,4
01/13/2021,"Out of State","Out of State","Out of State","Local Health Departments",Moderna,1,9
02/05/2021,51660,Harrisonburg,"Central Shenandoah",Pharmacies,Moderna,2,11
01/28/2021,51181,Surry,Crater,"Federal LTCF Program",Pfizer,1,4
02/04/2021,"Out of State","Out of State","Out of State",Hospitals,Moderna,1,2
01/29/2021,51163,Rockbridge,"Central Shenandoah","Federal LTCF Program",Pfizer,1,4
01/13/2021,51770,"Roanoke City",Roanoke,Hospitals,Moderna,1,1
02/03/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,2,110
02/03/2021,"Out of State","Out of State","Out of State","Other Community Health Providers",Pfizer,2,2
02/08/2021,51117,Mecklenburg,Southside,"Local Health Departments",Moderna,2,1
01/22/2021,51097,"King and Queen","Three Rivers","Medical Practices",Moderna,1,3
01/24/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,2,3
12/19/2020,51159,"Richmond County","Three Rivers",Hospitals,Pfizer,1,1
02/08/2021,51075,Goochland,Chickahominy,"Other Community Health Providers",Moderna,1,1
01/26/2021,51143,Pittsylvania,Pittsylvania-Danville,"Federal LTCF Program",Pfizer,1,12
01/20/2021,51105,Lee,Lenowisco,"Other Community Health Providers",Pfizer,1,3
02/01/2021,51171,Shenandoah,"Lord Fairfax","Other Community Health Providers",Moderna,2,1
12/31/2020,51700,"Newport News",Peninsula,"Federal LTCF Program",Pfizer,1,102
01/01/2021,51003,Albemarle,"Blue Ridge","Other Community Health Providers",Pfizer,1,1
12/31/2020,"Out of State","Out of State","Out of State","Local Health Departments",Moderna,1,40
01/19/2021,51191,Washington,"Mount Rogers","Local Health Departments",Moderna,1,23
01/26/2021,51041,Chesterfield,Chesterfield,Hospitals,Moderna,2,213
12/26/2020,51775,Salem,Alleghany,Hospitals,Pfizer,1,12
02/06/2021,51059,Fairfax,Fairfax,"Federal LTCF Program",Pfizer,2,261
01/26/2021,51013,Arlington,Arlington,"Local Health Departments",Pfizer,1,5
01/06/2021,51063,Floyd,"New River",Hospitals,Pfizer,1,7
01/06/2021,"Out of State","Out of State","Out of State","Other Community Health Providers",Moderna,1,2
01/26/2021,51760,"Richmond City",Richmond,Hospitals,Pfizer,1,119
01/30/2021,51041,Chesterfield,Chesterfield,"Local Health Departments",Moderna,1,96
01/20/2021,51003,Albemarle,"Blue Ridge","Medical Practices","Not Reported",1,1
01/03/2021,"Out of State","Out of State","Out of State","Federal LTCF Program",Pfizer,1,1
01/07/2021,51820,Waynesboro,"Central Shenandoah",Hospitals,Pfizer,1,1
01/18/2021,"Out of State","Out of State","Out of State","Other Community Health Providers",Moderna,1,4
01/27/2021,51167,Russell,"Cumberland Plateau","Other Community Health Providers",Pfizer,1,15
01/29/2021,"Out of State","Out of State","Out of State","Local Health Departments",Moderna,2,2
01/28/2021,"Out of State","Out of State","Out of State","Medical Practices",Pfizer,2,1
02/01/2021,51041,Chesterfield,Chesterfield,Hospitals,Pfizer,1,9
02/05/2021,51143,Pittsylvania,Pittsylvania-Danville,Pharmacies,Moderna,1,14
01/20/2021,51027,Buchanan,"Cumberland Plateau",Hospitals,Moderna,1,16
01/26/2021,51700,"Newport News",Peninsula,"Medical Practices",Pfizer,1,76
02/03/2021,51043,Clarke,"Lord Fairfax","Local Health Departments",Pfizer,1,8
01/28/2021,51730,Petersburg,Crater,"Medical Practices",Moderna,1,9
01/27/2021,51139,Page,"Lord Fairfax","Federal LTCF Program",Pfizer,1,8
01/15/2021,51049,Cumberland,Piedmont,Hospitals,Pfizer,1,3
01/05/2021,51169,Scott,Lenowisco,"Medical Practices",Pfizer,2,1
01/31/2021,51640,Galax,"Mount Rogers",Hospitals,Pfizer,1,1
02/03/2021,51183,Sussex,Crater,"Other Community Health Providers",Moderna,1,5
01/06/2021,51109,Louisa,"Blue Ridge","Medical Practices",Moderna,1,1
01/09/2021,51630,Fredericksburg,Rappahannock,"Local Health Departments",Moderna,1,5
02/02/2021,51141,Patrick,"West Piedmont",Hospitals,Moderna,1,2
01/18/2021,51630,Fredericksburg,Rappahannock,Hospitals,Moderna,1,62
02/09/2021,51193,Westmoreland,"Three Rivers","Local Health Departments",Moderna,2,26
01/21/2021,51059,Fairfax,Fairfax,"Local Health Departments",Pfizer,1,2
01/16/2021,51185,Tazewell,"Cumberland Plateau",Pharmacies,Moderna,1,8
01/23/2021,51163,Rockbridge,"Central Shenandoah",Hospitals,Pfizer,1,20
01/05/2021,51107,Loudoun,Loudoun,"Medical Practices",Pfizer,1,1
02/01/2021,51011,Appomattox,"Central Virginia","Local Health Departments",Pfizer,1,2
01/26/2021,51720,Norton,Lenowisco,"Local Health Departments",Moderna,2,9
02/03/2021,51036,"Charles City",Chickahominy,"Medical Practices",Pfizer,2,1
02/03/2021,"Not Reported","Not Reported","Not Reported","Federal LTCF Program",Pfizer,2,104
01/22/2021,51640,Galax,"Mount Rogers",Hospitals,Moderna,2,1
01/26/2021,51077,Grayson,"Mount Rogers",Pharmacies,Moderna,1,1
02/04/2021,"Out of State","Out of State","Out of State",Hospitals,Pfizer,2,5
01/26/2021,"Out of State","Out of State","Out of State","Local Health Departments",Moderna,1,53
01/16/2021,51157,Rappahannock,"Rappahannock Rapidan","Federal LTCF Program",Pfizer,1,1
01/06/2021,"Out of State","Out of State","Out of State","Other Community Health Providers",Moderna,1,1
01/22/2021,51540,Charlottesville,"Blue Ridge","Other Community Health Providers",Pfizer,1,109
01/13/2021,51540,Charlottesville,"Blue Ridge",Pharmacies,Moderna,1,1
02/08/2021,"Not Reported","Not Reported","Not Reported","Medical Practices",Pfizer,2,5
01/30/2021,51735,Poquoson,Peninsula,"Local Health Departments",Moderna,1,1
