"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-21,Southside,235,34,21
2020-05-21,Chesapeake,412,81,13
2020-05-21,"Thomas Jefferson",394,68,13
2020-05-21,Roanoke,135,7,8
2020-05-21,"Eastern Shore",915,58,27
2020-05-21,"Mount Rogers",254,19,6
2020-05-21,Chickahominy,384,77,26
2020-05-21,"New River",90,12,1
2020-05-21,"Central Virginia",179,15,3
2020-05-21,Piedmont,626,41,5
2020-05-21,"Lord Fairfax",1005,93,37
2020-05-21,Crater,468,81,14
2020-05-21,Hampton,167,30,3
2020-05-21,Alexandria,1627,171,37
2020-05-21,Fairfax,8677,1181,317
2020-05-21,Richmond,888,123,20
2020-05-21,Arlington,1763,346,89
2020-05-21,"Rappahannock Rapidan",899,70,11
2020-05-21,Rappahannock,1107,130,14
2020-05-21,Pittsylvania-Danville,71,23,2
2020-05-21,"Prince William",5149,491,88
2020-05-21,"Cumberland Plateau",32,2,0
2020-05-21,Portsmouth,245,40,11
2020-05-21,"Virginia Beach",584,87,19
2020-05-21,"West Piedmont",116,13,3
2020-05-21,"Three Rivers",441,33,6
2020-05-21,Alleghany,170,24,6
2020-05-21,Lenowisco,44,15,4
2020-05-21,Norfolk,377,59,6
2020-05-21,"Western Tidewater",571,58,31
2020-05-21,Henrico,1339,174,114
2020-05-21,"Central Shenandoah",1314,104,28
2020-05-21,Loudoun,1700,147,49
2020-05-21,Chesterfield,1240,73,36
2020-05-21,Peninsula,519,113,31
