"﻿Report Date","Health District","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-06-27,Southside,388,46,28
2020-06-27,Chesapeake,854,125,20
2020-06-27,"Thomas Jefferson",886,88,19
2020-06-27,Roanoke,363,14,10
2020-06-27,"Eastern Shore",1308,110,42
2020-06-27,"Mount Rogers",680,72,29
2020-06-27,Chickahominy,630,107,36
2020-06-27,"New River",199,22,5
2020-06-27,"Central Virginia",353,16,5
2020-06-27,Piedmont,999,82,10
2020-06-27,"Lord Fairfax",1941,171,66
2020-06-27,Crater,1456,142,26
2020-06-27,Hampton,305,41,5
2020-06-27,Alexandria,2303,238,57
2020-06-27,Fairfax,13854,1623,482
2020-06-27,Richmond,2159,214,30
2020-06-27,Arlington,2454,417,132
2020-06-27,"Rappahannock Rapidan",1432,107,20
2020-06-27,Rappahannock,2413,219,42
2020-06-27,Pittsylvania-Danville,186,38,3
2020-06-27,"Prince William",8970,789,160
2020-06-27,"Cumberland Plateau",58,2,0
2020-06-27,Portsmouth,455,68,16
2020-06-27,"Virginia Beach",1092,118,29
2020-06-27,"West Piedmont",414,38,7
2020-06-27,"Three Rivers",627,48,9
2020-06-27,Alleghany,360,31,14
2020-06-27,Lenowisco,49,16,4
2020-06-27,Norfolk,842,101,9
2020-06-27,"Western Tidewater",776,83,46
2020-06-27,Henrico,2560,249,141
2020-06-27,"Central Shenandoah",2003,163,34
2020-06-27,Loudoun,3890,262,86
2020-06-27,Chesterfield,3062,134,68
2020-06-27,Peninsula,926,126,34
