Date,"Vent Patients","ICU Patients",PPE,"Total COVID-19 Patients","Surge Capacity",Capacity,"Beds Occupied"
4/20/2020,237,396,6,1296,19771.2,16476,10515
5/9/2020,198,367,0,1593,19771.2,16476,11778
4/26/2020,217,387,2,1436,19771.2,16476,11156
4/30/2020,208,372,2,1550,19771.2,16476,11377
4/18/2020,230,398,6,1307,19771.2,16476,10379
5/10/2020,187,351,0,1555,19771.2,16476,11790
4/22/2020,244,419,3,1374,19771.2,16476,10957
5/20/2020,202,370,0,1536,19771.2,16476,12212
4/14/2020,276,422,7,1282,19771.2,16476,10485
5/7/2020,203,371,0,1613,19771.2,16476,11793
4/25/2020,223,357,3,1405,19771.2,16476,11123
4/17/2020,224,400,6,1308,19771.2,16476,10889
5/12/2020,201,364,0,1529,19771.2,16476,11692
5/5/2020,189,361,0,1496,19771.2,16476,11750
4/16/2020,238,427,6,1337,19771.2,16476,10933
5/8/2020,199,378,0,1625,19771.2,16476,11841
5/11/2020,194,362,0,1504,19771.2,16476,11829
5/18/2020,194,361,0,1502,19771.2,16476,12087
5/13/2020,202,374,0,1526,19771.2,16476,11930
5/4/2020,192,348,0,1463,19771.2,16476,11459
5/19/2020,199,377,0,1497,19771.2,16476,12065
5/6/2020,192,396,0,1594,19771.2,16476,11715
5/16/2020,189,381,0,1505,19771.2,16476,11999
5/2/2020,202,375,1,1426,19771.2,16476,11406
4/28/2020,217,376,2,1508,19771.2,16476,11299
5/3/2020,193,385,0,1413,19771.2,16476,11289
5/21/2020,191,351,0,1491,19771.2,16476,12226
4/24/2020,220,379,4,1399,19771.2,16476,10991
5/14/2020,201,355,0,1533,19771.2,16476,12116
4/19/2020,231,388,6,1319,19771.2,16476,10623
4/21/2020,251,403,4,1331,19771.2,16476,11011
4/23/2020,249,400,3,1379,19771.2,16476,11149
4/29/2020,222,387,1,1566,19771.2,16476,11324
4/15/2020,234,394,6,1298,19771.2,16476,10859
5/1/2020,193,366,2,1431,19771.2,16476,11295
5/17/2020,195,379,0,1524,19771.2,16476,11926
5/15/2020,195,362,0,1511,19771.2,16476,12148
4/27/2020,217,389,2,1455,19771.2,16476,11043
