Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
2020-04-24,Chesterfield,Female,263,15,8
2020-04-24,Mount Rogers,Female,27,5,0
2020-04-24,Virginia Beach,Male,153,36,6
2020-04-24,Crater,Female,94,19,6
2020-04-24,New River,Female,34,3,0
2020-04-24,Central Virginia,Male,57,4,1
2020-04-24,Lenowisco,Male,18,7,1
2020-04-24,Richmond,Female,139,20,1
2020-04-24,Chesapeake,Female,115,21,2
2020-04-24,Fairfax,Female,1248,188,44
2020-04-24,Peninsula,Female,167,43,13
2020-04-24,Loudoun,Female,268,22,5
2020-04-24,Norfolk,Male,57,16,3
2020-04-24,Loudoun,Not Reported,2,0,0
2020-04-24,Rappahannock,Not Reported,4,0,0
2020-04-24,Virginia Beach,Female,178,29,4
2020-04-24,Roanoke,Female,15,2,0
2020-04-24,West Piedmont,Male,16,4,1
2020-04-24,Thomas Jefferson,Not Reported,1,0,0
2020-04-24,New River,Not Reported,2,0,0
2020-04-24,Alexandria,Not Reported,4,0,0
2020-04-24,Chesterfield,Male,200,22,12
2020-04-24,Rappahannock,Female,187,32,2
2020-04-24,Chickahominy,Female,131,19,4
2020-04-24,Arlington,Male,353,65,14
2020-04-24,Chesterfield,Not Reported,10,1,0
2020-04-24,Richmond,Male,125,30,11
2020-04-24,Prince William,Female,646,68,8
2020-04-24,Loudoun,Male,259,45,5
2020-04-24,Portsmouth,Male,42,17,2
2020-04-24,Henrico,Female,424,48,46
2020-04-24,Thomas Jefferson,Female,133,27,3
2020-04-24,Pittsylvania-Danville,Female,25,9,1
2020-04-24,Mount Rogers,Not Reported,1,0,0
2020-04-24,Chickahominy,Male,66,20,8
2020-04-24,Prince William,Male,635,70,12
2020-04-24,Thomas Jefferson,Male,110,22,8
2020-04-24,Cumberland Plateau,Male,6,0,0
2020-04-24,Portsmouth,Not Reported,1,0,0
2020-04-24,Eastern Shore,Female,51,10,2
2020-04-24,Three Rivers,Male,89,6,0
2020-04-24,Alexandria,Male,258,43,9
2020-04-24,Piedmont,Female,68,6,1
2020-04-24,New River,Male,31,5,0
2020-04-24,Rappahannock,Male,164,43,7
2020-04-24,Rappahannock Rapidan,Male,99,13,2
2020-04-24,Lord Fairfax,Male,124,17,0
2020-04-24,Chesapeake,Male,82,22,3
2020-04-24,Norfolk,Female,84,15,0
2020-04-24,Alleghany,Female,47,5,2
2020-04-24,Crater,Male,69,13,3
2020-04-24,Central Shenandoah,Male,250,22,7
2020-04-24,Rappahannock Rapidan,Not Reported,6,0,0
2020-04-24,Hampton,Male,45,17,1
2020-04-24,Southside,Male,37,14,3
2020-04-24,Hampton,Female,54,9,0
2020-04-24,Fairfax,Male,1315,269,45
2020-04-24,Henrico,Not Reported,6,0,1
2020-04-24,Alexandria,Female,285,38,6
2020-04-24,Arlington,Not Reported,5,0,0
2020-04-24,Three Rivers,Female,33,5,1
2020-04-24,Peninsula,Male,153,53,7
2020-04-24,Southside,Female,67,9,4
2020-04-24,Prince William,Not Reported,10,0,0
2020-04-24,Pittsylvania-Danville,Male,17,8,1
2020-04-24,Central Virginia,Female,45,3,0
2020-04-24,Lord Fairfax,Female,132,14,0
2020-04-24,Western Tidewater,Male,177,26,3
2020-04-24,Central Shenandoah,Not Reported,8,0,0
2020-04-24,Richmond,Not Reported,3,1,2
2020-04-24,Eastern Shore,Male,64,8,1
2020-04-24,Rappahannock Rapidan,Female,95,8,1
2020-04-24,Roanoke,Male,18,3,0
2020-04-24,West Piedmont,Female,17,1,0
2020-04-24,Mount Rogers,Male,31,10,4
2020-04-24,Cumberland Plateau,Female,12,1,0
2020-04-24,Chickahominy,Not Reported,4,1,0
2020-04-24,Arlington,Female,364,55,10
2020-04-24,Central Shenandoah,Female,341,17,4
2020-04-24,Lenowisco,Female,17,5,1
2020-04-24,Piedmont,Male,43,11,2
2020-04-24,Crater,Not Reported,4,3,0
2020-04-24,Fairfax,Not Reported,21,3,0
2020-04-24,Portsmouth,Female,57,13,2
2020-04-24,Western Tidewater,Female,141,15,4
2020-04-24,Alleghany,Male,35,9,1
2020-04-24,Western Tidewater,Not Reported,1,0,0
2020-04-24,Henrico,Male,299,59,39
