"Report Date",FIPS,Locality,"VDH Health District","Total Cases",Hospitalizations,Deaths
2020-03-17,51001,Accomack,"Eastern Shore",0,0,0
2020-03-17,51003,Albemarle,"Thomas Jefferson",0,0,0
2020-03-17,51005,Alleghany,Alleghany,0,0,0
2020-03-17,51007,Amelia,Piedmont,0,0,0
2020-03-17,51009,Amherst,"Central Virginia",0,0,0
2020-03-17,51011,Appomattox,"Central Virginia",0,0,0
2020-03-17,51013,Arlington,Arlington,13,1,0
2020-03-17,51015,Augusta,"Central Shenandoah",0,0,0
2020-03-17,51017,Bath,"Central Shenandoah",0,0,0
2020-03-17,51019,Bedford,"Central Virginia",0,0,0
2020-03-17,51021,Bland,"Mount Rogers",0,0,0
2020-03-17,51023,Botetourt,Alleghany,0,0,0
2020-03-17,51025,Brunswick,Southside,0,0,0
2020-03-17,51027,Buchanan,"Cumberland Plateau",0,0,0
2020-03-17,51029,Buckingham,Piedmont,0,0,0
2020-03-17,51031,Campbell,"Central Virginia",0,0,0
2020-03-17,51033,Caroline,Rappahannock,0,0,0
2020-03-17,51035,Carroll,"Mount Rogers",0,0,0
2020-03-17,51036,"Charles City",Chickahominy,0,0,0
2020-03-17,51037,Charlotte,Piedmont,0,0,0
2020-03-17,51041,Chesterfield,Chesterfield,4,2,0
2020-03-17,51043,Clarke,"Lord Fairfax",0,0,0
2020-03-17,51045,Craig,Alleghany,0,0,0
2020-03-17,51047,Culpeper,"Rappahannock Rapidan",0,0,0
2020-03-17,51049,Cumberland,Piedmont,0,0,0
2020-03-17,51051,Dickenson,"Cumberland Plateau",0,0,0
2020-03-17,51053,Dinwiddie,Crater,0,0,0
2020-03-17,51057,Essex,"Three Rivers",0,0,0
2020-03-17,51059,Fairfax,Fairfax,12,3,0
2020-03-17,51061,Fauquier,"Rappahannock Rapidan",0,0,0
2020-03-17,51063,Floyd,"New River",0,0,0
2020-03-17,51065,Fluvanna,"Thomas Jefferson",0,0,0
2020-03-17,51067,"Franklin County","West Piedmont",0,0,0
2020-03-17,51069,Frederick,"Lord Fairfax",0,0,0
2020-03-17,51071,Giles,"New River",0,0,0
2020-03-17,51073,Gloucester,"Three Rivers",0,0,0
2020-03-17,51075,Goochland,Chickahominy,1,0,0
2020-03-17,51077,Grayson,"Mount Rogers",0,0,0
2020-03-17,51079,Greene,"Thomas Jefferson",0,0,0
2020-03-17,51081,Greensville,Crater,0,0,0
2020-03-17,51083,Halifax,Southside,0,0,0
2020-03-17,51085,Hanover,Chickahominy,1,0,0
2020-03-17,51087,Henrico,Henrico,2,1,0
2020-03-17,51089,Henry,"West Piedmont",0,0,0
2020-03-17,51091,Highland,"Central Shenandoah",0,0,0
2020-03-17,51093,"Isle of Wight","Western Tidewater",0,0,0
2020-03-17,51095,"James City",Peninsula,12,6,1
2020-03-17,51097,"King and Queen","Three Rivers",0,0,0
2020-03-17,51099,"King George",Rappahannock,0,0,0
2020-03-17,51101,"King William","Three Rivers",0,0,0
2020-03-17,51103,Lancaster,"Three Rivers",0,0,0
2020-03-17,51105,Lee,Lenowisco,0,0,0
2020-03-17,51107,Loudoun,Loudoun,5,2,0
2020-03-17,51109,Louisa,"Thomas Jefferson",0,0,0
2020-03-17,51111,Lunenburg,Piedmont,0,0,0
2020-03-17,51113,Madison,"Rappahannock Rapidan",0,0,0
2020-03-17,51115,Mathews,"Three Rivers",0,0,0
2020-03-17,51117,Mecklenburg,Southside,0,0,0
2020-03-17,51119,Middlesex,"Three Rivers",0,0,0
2020-03-17,51121,Montgomery,"New River",0,0,0
2020-03-17,51125,Nelson,"Thomas Jefferson",0,0,0
2020-03-17,51127,"New Kent",Chickahominy,0,0,0
2020-03-17,51131,Northampton,"Eastern Shore",0,0,0
2020-03-17,51133,Northumberland,"Three Rivers",0,0,0
2020-03-17,51135,Nottoway,Piedmont,0,0,0
2020-03-17,51137,Orange,"Rappahannock Rapidan",0,0,0
2020-03-17,51139,Page,"Lord Fairfax",0,0,0
2020-03-17,51141,Patrick,"West Piedmont",0,0,0
2020-03-17,51143,Pittsylvania,Pittsylvania-Danville,0,0,0
2020-03-17,51145,Powhatan,Chesterfield,0,0,0
2020-03-17,51147,"Prince Edward",Piedmont,1,0,0
2020-03-17,51149,"Prince George",Crater,0,0,0
2020-03-17,51153,"Prince William","Prince William",4,1,0
2020-03-17,51155,Pulaski,"New River",0,0,0
2020-03-17,51157,Rappahannock,"Rappahannock Rapidan",0,0,0
2020-03-17,51159,"Richmond County","Three Rivers",0,0,0
2020-03-17,51161,"Roanoke County",Alleghany,0,0,0
2020-03-17,51163,Rockbridge,"Central Shenandoah",0,0,0
2020-03-17,51165,Rockingham,"Central Shenandoah",0,0,0
2020-03-17,51167,Russell,"Cumberland Plateau",0,0,0
2020-03-17,51169,Scott,Lenowisco,0,0,0
2020-03-17,51171,Shenandoah,"Lord Fairfax",0,0,0
2020-03-17,51173,Smyth,"Mount Rogers",0,0,0
2020-03-17,51175,Southampton,"Western Tidewater",0,0,0
2020-03-17,51177,Spotsylvania,Rappahannock,1,0,0
2020-03-17,51179,Stafford,Rappahannock,1,1,0
2020-03-17,51181,Surry,Crater,0,0,0
2020-03-17,51183,Sussex,Crater,0,0,0
2020-03-17,51185,Tazewell,"Cumberland Plateau",0,0,0
2020-03-17,51187,Warren,"Lord Fairfax",0,0,0
2020-03-17,51191,Washington,"Mount Rogers",0,0,0
