"Report Date","Geography Type","Geography Name",FacilityTypeGroup,"Number of Outbreaks","Number of Outbreak Associated Cases","Number of Outbreak Associated Deaths"
05/09/2020,"Health District",Alexandria,"All Outbreaks",10,78,"Not provided at this time"
05/09/2020,"Health District",Alexandria,"Congregate Setting",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alexandria,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alexandria,"Educational Setting",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alexandria,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alexandria,"Long Term Care Facilities",8,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alexandria,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alleghany,"All Outbreaks",6,41,"Not provided at this time"
05/09/2020,"Health District",Alleghany,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alleghany,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alleghany,"Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alleghany,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alleghany,"Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Alleghany,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Arlington,"All Outbreaks",12,287,"Not provided at this time"
05/09/2020,"Health District",Arlington,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Arlington,"Correctional Facility",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Arlington,"Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Arlington,"Healthcare Setting",3,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Arlington,"Long Term Care Facilities",7,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Arlington,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Shenandoah","All Outbreaks",11,402,"Not provided at this time"
05/09/2020,"Health District","Central Shenandoah","Congregate Setting",6,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Shenandoah","Correctional Facility",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Shenandoah","Educational Setting",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Shenandoah","Healthcare Setting",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Shenandoah","Long Term Care Facilities",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Shenandoah",Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Virginia","All Outbreaks",3,17,"Not provided at this time"
05/09/2020,"Health District","Central Virginia","Congregate Setting",3,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Virginia","Correctional Facility",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Virginia","Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Virginia","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Virginia","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Central Virginia",Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesapeake,"All Outbreaks",11,91,"Not provided at this time"
05/09/2020,"Health District",Chesapeake,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesapeake,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesapeake,"Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesapeake,"Healthcare Setting",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesapeake,"Long Term Care Facilities",6,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesapeake,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesterfield,"All Outbreaks",15,211,"Not provided at this time"
05/09/2020,"Health District",Chesterfield,"Congregate Setting",4,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesterfield,"Correctional Facility",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesterfield,"Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesterfield,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesterfield,"Long Term Care Facilities",9,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chesterfield,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chickahominy,"All Outbreaks",10,191,"Not provided at this time"
05/09/2020,"Health District",Chickahominy,"Congregate Setting",3,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chickahominy,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chickahominy,"Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chickahominy,"Healthcare Setting",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chickahominy,"Long Term Care Facilities",4,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Chickahominy,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Crater,"All Outbreaks",4,71,"Not provided at this time"
05/09/2020,"Health District",Crater,"Congregate Setting",2,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Crater,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Crater,"Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Crater,"Healthcare Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Crater,"Long Term Care Facilities",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Crater,Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau","All Outbreaks",1,15,"Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau","Congregate Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau","Correctional Facility",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau","Educational Setting",1,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau","Long Term Care Facilities",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Cumberland Plateau",Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Eastern Shore","All Outbreaks",8,385,"Not provided at this time"
05/09/2020,"Health District","Eastern Shore","Congregate Setting",5,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Eastern Shore","Correctional Facility",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Eastern Shore","Educational Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Eastern Shore","Healthcare Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Eastern Shore","Long Term Care Facilities",3,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District","Eastern Shore",Other,0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Fairfax,"All Outbreaks",44,851,"Not provided at this time"
05/09/2020,"Health District",Fairfax,"Congregate Setting",0,"Not provided at this time","Not provided at this time"
05/09/2020,"Health District",Fairfax,"Correctional Facility",1,"Not provided at this time","Not provided at this time"
