Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Geolocation State,Geolocation
2020-05-31,495338,GRACE HEALTHCARE OF ABINGDON,600 WALDEN ROAD,ABINGDON,VA,24210,Y,Y,0,0,0,0,0,0,3,17,0,0,119,73,Y,Y,Y,N,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.960216 36.72047)
2020-06-14,495409,ABINGDON HEALTH CARE LLC,15051 HARMONY HILLS LANE,ABINGDON,VA,24211,Y,Y,0,0,0,0,1,4,1,32,0,0,120,97,Y,Y,Y,N,0,0,0,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.903608 36.724123)
2020-05-24,495338,GRACE HEALTHCARE OF ABINGDON,600 WALDEN ROAD,ABINGDON,VA,24210,Y,Y,0,0,0,0,0,0,14,14,0,0,119,71,Y,Y,Y,N,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.960216 36.72047)
2020-05-24,495409,ABINGDON HEALTH CARE LLC,15051 HARMONY HILLS LANE,ABINGDON,VA,24211,Y,Y,0,0,0,0,0,0,26,26,0,0,120,102,Y,Y,N,N,0,0,5,5,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.903608 36.724123)
2020-06-14,495338,GRACE HEALTHCARE OF ABINGDON,600 WALDEN ROAD,ABINGDON,VA,24210,Y,Y,0,0,0,0,0,0,0,17,0,0,119,70,Y,Y,Y,N,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.960216 36.72047)
2020-05-31,495409,ABINGDON HEALTH CARE LLC,15051 HARMONY HILLS LANE,ABINGDON,VA,24211,Y,Y,0,0,0,0,1,1,2,28,0,0,120,101,Y,Y,N,N,0,0,2,7,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.903608 36.724123)
2020-06-21,495409,ABINGDON HEALTH CARE LLC,15051 HARMONY HILLS LANE,ABINGDON,VA,24211,Y,Y,0,0,0,0,1,5,0,32,0,0,120,104,Y,Y,Y,N,0,0,2,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.903608 36.724123)
2020-06-21,495338,GRACE HEALTHCARE OF ABINGDON,600 WALDEN ROAD,ABINGDON,VA,24210,Y,Y,0,0,0,0,0,0,0,17,0,0,119,71,Y,Y,Y,N,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.960216 36.72047)
2020-06-07,495338,GRACE HEALTHCARE OF ABINGDON,600 WALDEN ROAD,ABINGDON,VA,24210,Y,Y,0,0,0,0,0,0,0,17,0,0,119,71,Y,Y,Y,N,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.960216 36.72047)
2020-06-07,495409,ABINGDON HEALTH CARE LLC,15051 HARMONY HILLS LANE,ABINGDON,VA,24211,Y,Y,0,0,0,0,2,3,3,31,0,0,120,93,Y,Y,N,N,0,0,2,9,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-81.903608 36.724123)
2020-05-24,495288,THE FOUNTAINS AT WASHINGTON HOUSE,5100 FILLMORE AVENUE,ALEXANDRIA,VA,22311,Y,Y,4,4,1,1,0,0,0,0,0,0,54,15,Y,Y,N,N,2,2,1,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,,,,,66.7,0,0,POINT (-78.666382 37.510861),POINT (-77.115168 38.8378)
2020-06-14,495288,THE FOUNTAINS AT WASHINGTON HOUSE,5100 FILLMORE AVENUE,ALEXANDRIA,VA,22311,Y,Y,0,7,0,1,0,0,0,0,0,0,54,15,Y,Y,N,N,0,4,0,1,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,66.7,0,0,POINT (-78.666382 37.510861),POINT (-77.115168 38.8378)
2020-05-24,495203,"ENVOY OF ALEXANDRIA, LLC",900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302,Y,Y,1,1,25,25,2,2,7,7,8,8,111,86,Y,Y,Y,Y,25,25,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,290.7,93,32,POINT (-78.666382 37.510861),POINT (-77.075673 38.827277)
2020-05-31,495057,GOODWIN HOUSE ALEXANDRIA,4800 FILLMORE AVE,ALEXANDRIA,VA,22311,Y,Y,0,0,0,0,0,0,0,0,0,0,80,72,Y,Y,Y,N,1,3,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-77.113601 38.836768)
2020-06-07,495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,Y,Y,1,6,0,18,0,3,1,14,0,1,307,272,Y,Y,Y,N,1,13,0,9,0,0,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,35,0,Y,Y,66.2,3.7,5.6,POINT (-78.666382 37.510861),POINT (-77.073051 38.815418)
2020-06-07,495011,MANORCARE HEALTH SERVICES-ALEXANDRIA,1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,Y,Y,2,5,10,36,0,1,1,5,1,3,96,53,Y,Y,Y,Y,0,14,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,679.2,56.6,8.3,POINT (-78.666382 37.510861),POINT (-77.05922 38.734332)
2020-06-21,495211,MOUNT VERNON HEALTHCARE CENTER,8111 TISWELL DRIVE,ALEXANDRIA,VA,22306,Y,N,1,3,0,12,0,11,0,0,0,0,130,74,Y,Y,Y,N,0,8,0,1,0,0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,162.2,0,0,POINT (-78.666382 37.510861),POINT (-77.078332 38.736339)
2020-05-24,495057,GOODWIN HOUSE ALEXANDRIA,4800 FILLMORE AVE,ALEXANDRIA,VA,22311,Y,Y,0,0,0,0,0,0,0,0,0,0,80,72,Y,Y,Y,N,2,2,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-77.113601 38.836768)
2020-05-24,495211,MOUNT VERNON HEALTHCARE CENTER,8111 TISWELL DRIVE,ALEXANDRIA,VA,22306,Y,N,0,0,2,2,6,6,0,0,0,0,130,88,Y,Y,Y,N,0,0,0,0,0,0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,22.7,0,0,POINT (-78.666382 37.510861),POINT (-77.078332 38.736339)
2020-06-14,495019,WOODBINE REHABILITATION & HEALTHCARE CENTER,2729 KING ST,ALEXANDRIA,VA,22302,Y,Y,0,6,9,27,8,11,1,15,0,1,307,270,Y,Y,Y,N,7,20,0,9,0,0,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,35,4,Y,Y,100,3.7,3.7,POINT (-78.666382 37.510861),POINT (-77.073051 38.815418)
2020-06-14,495203,"ENVOY OF ALEXANDRIA, LLC",900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302,Y,Y,0,2,0,25,0,2,0,9,0,9,111,84,Y,Y,Y,Y,0,25,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,297.6,107.1,36,POINT (-78.666382 37.510861),POINT (-77.075673 38.827277)
2020-06-14,495011,MANORCARE HEALTH SERVICES-ALEXANDRIA,1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,Y,Y,1,6,7,43,0,1,0,5,0,3,96,51,Y,Y,Y,Y,2,16,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,843.1,58.8,7,POINT (-78.666382 37.510861),POINT (-77.05922 38.734332)
2020-06-14,495057,GOODWIN HOUSE ALEXANDRIA,4800 FILLMORE AVE,ALEXANDRIA,VA,22311,Y,Y,0,0,0,0,0,0,0,0,0,0,80,72,Y,Y,Y,N,0,3,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-77.113601 38.836768)
2020-06-21,495057,GOODWIN HOUSE ALEXANDRIA,4800 FILLMORE AVE,ALEXANDRIA,VA,22311,Y,Y,0,0,0,0,0,0,0,0,0,0,80,72,Y,Y,Y,N,0,3,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,POINT (-78.666382 37.510861),POINT (-77.113601 38.836768)
2020-05-31,495211,MOUNT VERNON HEALTHCARE CENTER,8111 TISWELL DRIVE,ALEXANDRIA,VA,22306,Y,N,0,0,3,5,4,10,0,0,0,0,130,82,Y,Y,Y,N,0,0,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,61,0,0,POINT (-78.666382 37.510861),POINT (-77.078332 38.736339)
2020-06-07,495211,MOUNT VERNON HEALTHCARE CENTER,8111 TISWELL DRIVE,ALEXANDRIA,VA,22306,Y,N,0,0,6,11,0,10,0,0,0,0,130,79,Y,Y,Y,N,8,8,1,1,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,139.2,0,0,POINT (-78.666382 37.510861),POINT (-77.078332 38.736339)
2020-06-07,495203,"ENVOY OF ALEXANDRIA, LLC",900 VIRGINIA AVENUE,ALEXANDRIA,VA,22302,Y,Y,1,2,0,25,0,2,2,9,1,9,111,85,Y,Y,Y,Y,0,25,0,0,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,294.1,105.9,36,POINT (-78.666382 37.510861),POINT (-77.075673 38.827277)
