Column Name,Description,Type
Week Ending,Last day (MM/DD/YYYY) of reporting week (a reporting week is from Monday through Sunday).,Date
Federal Provider Number,The CMS Certification Number (CCN) for the provider.,Text
Provider Name,The provider's name.,Text
Provider Address,The provider's address.,Text
Provider City,The provider's city.,Text
Provider State,The provider's state.,Text
Provider Zip Code,The provider's zip code.,Text
Submitted Data,Indicates (Y/N) if any data was submitted for the reporting week.,Text
Passed Quality Assurance Check,Indicates (Y/N) if the data passed the quality assurance check.,Text
Residents Weekly Admissions COVID-19,Number of residents admitted or readmitted who were previously hospitalized and treated for COVID-19 (ADMISSIONS) as reported by the provider for this collection date. Note: Numbers for Week Ending 05/24/2020 may include reporting for any time between 01/01/2020 through 05/24/2020. Reporting for subsequent weeks is on a weekly basis.,Number
Residents Total Admissions COVID-19,Number of residents admitted or readmitted who were previously hospitalized and treated for COVID-19 (ADMISSIONS) since 01/01/2020 as reported by the provider.,Number
Residents Weekly Confirmed COVID-19,Number of residents with new laboratory positive COVID-19 (CONFIRMED) as reported by the provider for this collection date. Note: Numbers for Week Ending 05/24/2020 may include reporting for any time between 01/01/2020 through 05/24/2020. Reporting for subsequent weeks is on a weekly basis.,Number
Residents Total Confirmed COVID-19,Number of residents with laboratory positive COVID-19 (CONFIRMED) since 01/01/2020 as reported by the provider.,Number
Residents Weekly Suspected COVID-19,Number of residents with new suspected COVID-19 (SUSPECTED) as reported by the provider for this collection date. Note: Numbers for Week Ending 05/24/2020 may include reporting for any time between 01/01/2020 through 05/24/2020. Reporting for subsequent weeks is on a weekly basis.,Number
Residents Total Suspected COVID-19,Number of residents with suspected COVID-19 (SUSPECTED) since 01/01/2020 as reported by the provider.,Number
Residents Weekly All Deaths,Number of residents who have died in the facility or another location (TOTAL DEATHS) as reported by the provider for this collection date. Note: Numbers for Week Ending 05/24/2020 may include reporting for any time between 01/01/2020 through 05/24/2020. Reporting for subsequent weeks is on a weekly basis.,Number
