Date,"Beds Occupied","Surge Capacity",Capacity,"Vent Patients","ICU Patients",PPE,"Total COVID-19 Patients"
2020-04-20,10515,19771.2,16476,237,396,6,1296
2020-05-09,11778,19771.2,16476,198,367,0,1593
2020-04-26,11156,19771.2,16476,217,387,2,1436
2020-04-30,11377,19771.2,16476,208,372,2,1550
2020-04-18,10379,19771.2,16476,230,398,6,1307
2020-05-10,11790,19771.2,16476,187,351,0,1555
2020-04-22,10957,19771.2,16476,244,419,3,1374
2020-04-14,10485,19771.2,16476,276,422,7,1282
2020-05-07,11793,19771.2,16476,203,371,0,1613
2020-04-25,11123,19771.2,16476,223,357,3,1405
2020-04-17,10889,19771.2,16476,224,400,6,1308
2020-05-12,11692,19771.2,16476,201,364,0,1529
2020-05-05,11750,19771.2,16476,189,361,0,1496
2020-04-16,10933,19771.2,16476,238,427,6,1337
2020-05-08,11841,19771.2,16476,199,378,0,1625
2020-05-11,11829,19771.2,16476,194,362,0,1504
2020-05-13,11930,19771.2,16476,202,374,0,1526
2020-05-04,11459,19771.2,16476,192,348,0,1463
2020-05-06,11715,19771.2,16476,192,396,0,1594
2020-05-02,11406,19771.2,16476,202,375,1,1426
2020-04-28,11299,19771.2,16476,217,376,2,1508
2020-05-03,11289,19771.2,16476,193,385,0,1413
2020-04-24,10991,19771.2,16476,220,379,4,1399
2020-04-19,10623,19771.2,16476,231,388,6,1319
2020-04-21,11011,19771.2,16476,251,403,4,1331
2020-04-23,11149,19771.2,16476,249,400,3,1379
2020-04-29,11324,19771.2,16476,222,387,1,1566
2020-04-15,10859,19771.2,16476,234,394,6,1298
2020-05-01,11295,19771.2,16476,193,366,2,1431
2020-04-27,11043,19771.2,16476,217,389,2,1455
