Date,"Total COVID-19 Patients","ICU Patients","Vent Patients",PPE,Capacity,"Surge Capacity","Beds Occupied"
2020-07-08,971,230,98,0,16476,19771.2,12794
2020-07-18,1166,254,108,0,16476,19771.2,12758
2020-06-13,959,295,142,0,16476,19771.2,12545
2020-06-08,1173,308,160,0,16476,19771.2,12049
2020-04-20,1296,396,237,6,16476,19771.2,10515
2020-05-09,1593,367,198,0,16476,19771.2,11778
2020-06-25,854,237,104,0,16476,19771.2,12852
2020-07-29,1350,276,155,0,16476,19771.2,12829
2020-04-26,1436,387,217,2,16476,19771.2,11156
2020-06-27,819,234,103,0,16476,19771.2,12629
2020-05-22,1459,366,207,0,16476,19771.2,12287
2020-06-07,1186,316,165,0,16476,19771.2,12102
2020-04-30,1550,372,208,2,16476,19771.2,11377
2020-04-18,1307,398,230,6,16476,19771.2,10379
2020-05-10,1555,351,187,0,16476,19771.2,11790
2020-07-19,1186,249,127,0,16476,19771.2,12656
2020-05-27,1459,390,203,0,16476,19771.2,12176
2020-04-22,1374,419,244,3,16476,19771.2,10957
2020-05-20,1536,370,202,0,16476,19771.2,12212
2020-08-02,1172,267,138,0,16476,19771.2,12765
2020-06-12,1026,297,143,0,16476,19771.2,12684
2020-06-10,1155,296,139,2,16476,19771.2,12594
2020-05-24,1351,354,192,0,16476,19771.2,11904
2020-06-30,902,230,98,0,16476,19771.2,12567
2020-06-11,1069,273,138,0,16476,19771.2,12642
2020-05-28,1502,416,195,0,16476,19771.2,12396
2020-04-14,1282,422,276,7,16476,19771.2,10485
2020-06-18,857,241,129,0,16476,19771.2,12594
2020-05-07,1613,371,203,0,16476,19771.2,11793
2020-04-25,1405,357,223,3,16476,19771.2,11123
2020-04-17,1308,400,224,6,16476,19771.2,10889
2020-06-24,886,235,107,0,16476,19771.2,12714
2020-05-12,1529,364,201,0,16476,19771.2,11692
2020-05-05,1496,361,189,0,16476,19771.2,11750
2020-04-16,1337,427,238,6,16476,19771.2,10933
2020-05-08,1625,378,199,0,16476,19771.2,11841
2020-06-19,862,251,121,0,16476,19771.2,12613
2020-06-14,958,334,155,0,16476,19771.2,12330
2020-07-20,1158,265,125,0,16476,19771.2,12599
2020-07-04,808,207,99,0,16476,19771.2,12452
2020-06-01,1371,347,188,0,16476,19771.2,12056
2020-05-11,1504,362,194,0,16476,19771.2,11829
2020-06-23,847,245,126,0,16476,19771.2,12152
2020-05-18,1502,361,194,0,16476,19771.2,12087
2020-07-21,1189,258,127,2,16476,19771.2,12711
2020-07-11,1020,230,97,0,16476,19771.2,12946
2020-07-22,1157,253,136,1,16476,19771.2,12921
2020-07-30,1357,284,147,0,16476,19771.2,13049
2020-07-31,1334,279,145,0,16476,19771.2,12871
2020-07-27,1200,260,140,0,16476,19771.2,12642
2020-08-03,1205,271,151,0,16476,19771.2,12721
2020-07-12,1045,228,101,0,16476,19771.2,12777
2020-07-02,888,206,95,0,16476,19771.2,12718
2020-05-13,1526,374,202,0,16476,19771.2,11930
2020-06-26,854,219,99,0,16476,19771.2,12680
2020-05-04,1463,348,192,0,16476,19771.2,11459
2020-05-19,1497,377,199,0,16476,19771.2,12065
2020-06-05,1205,320,161,0,16476,19771.2,12233
2020-05-25,1376,349,182,0,16476,19771.2,11968
2020-07-06,783,194,86,0,16476,19771.2,12237
2020-05-30,1471,372,194,0,16476,19771.2,12146
2020-05-26,1403,366,190,0,16476,19771.2,11960
2020-05-06,1594,396,192,0,16476,19771.2,11715
2020-07-17,1171,247,118,0,16476,19771.2,12942
2020-07-13,1129,243,105,0,16476,19771.2,12677
2020-08-01,1256,275,150,0,16476,19771.2,12896
2020-05-16,1505,381,189,0,16476,19771.2,11999
2020-05-31,1458,371,196,0,16476,19771.2,11684
2020-05-02,1426,375,202,1,16476,19771.2,11406
2020-07-28,1294,261,153,0,16476,19771.2,12652
2020-08-04,1255,282,144,0,16476,19771.2,12706
2020-07-07,902,221,105,0,16476,19771.2,12424
2020-06-09,1169,311,155,0,16476,19771.2,12137
2020-06-03,1311,313,185,0,16476,19771.2,12314
2020-04-28,1508,376,217,2,16476,19771.2,11299
2020-06-15,902,269,130,0,16476,19771.2,11957
2020-07-05,792,202,95,0,16476,19771.2,12182
2020-06-02,1362,336,186,0,16476,19771.2,11933
2020-07-03,818,207,95,0,16476,19771.2,12748
2020-06-17,938,249,120,0,16476,19771.2,12488
2020-07-25,1201,266,138,0,16476,19771.2,12827
2020-05-03,1413,385,193,0,16476,19771.2,11289
2020-06-04,1266,321,171,0,16476,19771.2,12324
2020-06-16,904,241,125,0,16476,19771.2,12204
2020-06-21,863,243,125,0,16476,19771.2,12283
2020-05-21,1491,351,191,0,16476,19771.2,12226
2020-06-22,848,240,132,0,16476,19771.2,12155
2020-07-09,956,215,93,0,16476,19771.2,12864
2020-07-24,1250,274,142,1,16476,19771.2,12980
2020-04-24,1399,379,220,4,16476,19771.2,10991
2020-07-01,892,205,95,0,16476,19771.2,12830
2020-05-14,1533,355,201,0,16476,19771.2,12116
2020-04-19,1319,388,231,6,16476,19771.2,10623
2020-06-20,880,267,133,0,16476,19771.2,12424
2020-07-10,1006,234,102,0,16476,19771.2,13013
2020-04-21,1331,403,251,4,16476,19771.2,11011
2020-04-23,1379,400,249,3,16476,19771.2,11149
2020-04-29,1566,387,222,1,16476,19771.2,11324
2020-04-15,1298,394,234,6,16476,19771.2,10859
2020-05-29,1524,373,193,0,16476,19771.2,12369
2020-05-01,1431,366,193,2,16476,19771.2,11295
2020-06-29,796,225,101,0,16476,19771.2,12374
2020-06-28,818,235,107,0,16476,19771.2,12449
2020-05-23,1384,330,213,0,16476,19771.2,12191
2020-05-17,1524,379,195,0,16476,19771.2,11926
2020-07-26,1174,268,143,0,16476,19771.2,12625
2020-06-06,1171,324,169,0,16476,19771.2,12280
2020-07-14,1127,249,112,0,16476,19771.2,12705
2020-07-23,1218,257,136,1,16476,19771.2,12990
2020-07-15,1081,246,113,0,16476,19771.2,12933
2020-07-16,1134,248,118,0,16476,19771.2,13014
2020-05-15,1511,362,195,0,16476,19771.2,12148
2020-04-27,1455,389,217,2,16476,19771.2,11043
