Report Date,Beds Occupied,Surge Capacity,Capacity,Vent Patients,ICU Patients,PPE,Total COVID-19 Patients
4/20/2020,10515,19771.2,16476,237,396,6,1296
5/9/2020,11778,19771.2,16476,198,367,0,1593
4/26/2020,11156,19771.2,16476,217,387,2,1436
4/30/2020,11377,19771.2,16476,208,372,2,1550
4/18/2020,10379,19771.2,16476,230,398,6,1307
4/22/2020,10957,19771.2,16476,244,419,3,1374
4/14/2020,10485,19771.2,16476,276,422,7,1282
5/7/2020,11793,19771.2,16476,203,371,0,1613
4/25/2020,11123,19771.2,16476,223,357,3,1405
4/17/2020,10889,19771.2,16476,224,400,6,1308
5/5/2020,11750,19771.2,16476,189,361,0,1496
4/16/2020,10933,19771.2,16476,238,427,6,1337
5/8/2020,11841,19771.2,16476,199,378,0,1625
5/4/2020,11459,19771.2,16476,192,348,0,1463
5/6/2020,11715,19771.2,16476,192,396,0,1594
5/2/2020,11406,19771.2,16476,202,375,1,1426
4/28/2020,11299,19771.2,16476,217,376,2,1508
5/3/2020,11289,19771.2,16476,193,385,0,1413
4/24/2020,10991,19771.2,16476,220,379,4,1399
4/19/2020,10623,19771.2,16476,231,388,6,1319
4/21/2020,11011,19771.2,16476,251,403,4,1331
4/23/2020,11149,19771.2,16476,249,400,3,1379
4/29/2020,11324,19771.2,16476,222,387,1,1566
4/15/2020,10859,19771.2,16476,234,394,6,1298
5/1/2020,11295,19771.2,16476,193,366,2,1431
4/27/2020,11043,19771.2,16476,217,389,2,1455
