Report Date,Date VDH Notified,Status,Locality,FIPS,Facility,Facility Type,Cases,Deaths,Active
2020-12-18,2020-04-03,Outbreak Closed,Alexandria,51510,Envoy of Alexandria,Nursing Home,73,15,0
2020-12-18,2020-10-01,Outbreak Closed,Alexandria,51510,Episcopal High School,K-12,*,0,0
2020-12-18,2020-06-30,Outbreak Pending Closure,Alexandria,51510,Goodwin House - Alexandria,Assisted Living,16,*,0
2020-12-18,2020-04-16,Outbreak Pending Closure,Alexandria,51510,Hermitage - Northern Virginia,Multicare,30,6,0
2020-12-18,2020-11-24,Outbreak Closed,Alexandria,51510,Madison Day School,Daycare / Pre-K,*,0,0
2020-12-18,2020-04-11,Outbreak Pending Closure,Alexandria,51510,Silverado Memory Care Community - Alexandria,Assisted Living,32,10,0
2020-12-18,2020-04-30,Outbreak Closed,Alexandria,51510,Sunrise Senior Living - Alexandria,Assisted Living,26,5,0
2020-12-18,2020-04-24,Outbreak Closed,Alexandria,51510,The Fountains at Washington House,Multicare,32,*,0
2020-12-18,2020-10-08,Outbreak Pending Closure,Alexandria,51510,The Fountains at Washington House,Multicare,*,0,0
2020-12-18,2020-04-17,Outbreak Pending Closure,Alexandria,51510,Woodbine Rehabilitation and Healthcare Center,Nursing Home,66,7,0
2020-12-18,2020-10-29,Outbreak Pending Closure,Alleghany,51005,Alleghany Health and Rehab,Multicare,6,0,0
2020-12-18,2020-10-27,Outbreak Closed,Alleghany,51005,The Woodlands Health & Rehab Center,Nursing Home,80,17,0
2020-12-18,2020-06-24,Outbreak Closed,Botetourt,51023,Carrington Place Health & Rehab Center - Botetourt,Nursing Home,24,5,0
2020-12-18,2020-10-23,Outbreak Closed,Botetourt,51023,Carrington Place Health & Rehab Center - Botetourt,Nursing Home,43,*,0
2020-12-18,2020-08-25,Outbreak Closed,Botetourt,51023,The Glebe,Multicare,7,0,0
2020-12-18,2020-09-05,Outbreak in Progress,Roanoke County,51161,Berkshire Health & Rehabilitation Center,Nursing Home,19,*,1
2020-12-18,2020-10-23,Outbreak in Progress,Roanoke County,51161,Catawba Hospital,Medical Facility,6,0,1
2020-12-18,2020-06-24,Outbreak Closed,Roanoke County,51161,Friendship Health and Rehabilitation Center,Nursing Home,14,*,0
2020-12-18,2020-09-27,Outbreak in Progress,Roanoke County,51161,Friendship Health & Rehab Center North,Multicare,163,10,1
2020-12-18,2020-09-27,Outbreak Pending Closure,Roanoke County,51161,Friendship Health & Rehab Center South,Multicare,50,*,0
2020-12-18,2020-10-23,Outbreak Closed,Roanoke County,51161,North Cross School,K-12,*,0,0
2020-12-18,2020-10-23,Outbreak in Progress,Roanoke County,51161,Salem Health & Rehabilitation Center,Nursing Home,30,*,1
2020-12-18,2020-04-24,Outbreak Closed,Salem,51775,Brookdale Senior Living - Salem,Assisted Living,21,*,0
2020-12-18,2020-10-23,Outbreak Pending Closure,Salem,51775,"Key Living Options, Inc",Group Home,10,0,0
2020-12-18,2020-11-10,Outbreak Pending Closure,Salem,51775,LewisGale Medical Center,Behavioral Health_Inpatient or Outpatient Medical,9,0,0
2020-12-18,2020-04-24,Outbreak Closed,Salem,51775,Richfield Living,Nursing Home,12,*,0
2020-12-18,2020-08-06,Outbreak Closed,Salem,51775,Richfield Living,Nursing Home,*,0,0
2020-12-18,2020-10-10,Outbreak in Progress,Salem,51775,Richfield Living,Nursing Home,135,9,1
2020-12-18,2020-10-10,Outbreak Closed,Salem,51775,Salem Terrace at Harrogate,Multicare,*,0,0
2020-12-18,2020-08-17,Outbreak Closed,Salem,51775,Snyder Nursing Home,Nursing Home,*,0,0
2020-12-18,2020-10-23,Outbreak Pending Closure,Salem,51775,Snyder Nursing Home,Nursing Home,38,*,0
2020-12-18,2020-03-28,Outbreak Closed,Arlington,51013,Brookdale Senior Living - Arlington,Multicare,49,10,0
2020-12-18,2020-04-09,Outbreak Closed,Arlington,51013,Cherrydale Health & Rehabilitation Center,Multicare,144,28,0
2020-12-18,2020-10-22,Outbreak in Progress,Arlington,51013,Cherrydale Health & Rehabilitation Center,Multicare,9,0,1
2020-12-18,2020-06-05,Outbreak Closed,Arlington,51013,Culpepper Garden,Assisted Living,*,0,0
2020-12-18,2020-12-04,Outbreak in Progress,Arlington,51013,Culpepper Garden,Assisted Living,24,*,1
2020-12-18,2020-04-08,Outbreak Closed,Arlington,51013,ManorCare Health Services - Arlington,Nursing Home,87,18,0
2020-12-18,2020-10-23,Outbreak in Progress,Arlington,51013,ManorCare Health Services - Arlington,Nursing Home,14,*,1
2020-12-18,2020-04-08,Outbreak Closed,Arlington,51013,Regency Care of Arlington,Nursing Home,144,29,0
2020-12-18,2020-11-10,Outbreak in Progress,Arlington,51013,Regency Care of Arlington,Nursing Home,10,*,1
2020-12-18,2020-05-15,Outbreak Closed,Arlington,51013,Sunrise Senior Living - Bluemont Park,Assisted Living,18,*,0
2020-12-18,2020-08-19,Outbreak Closed,Arlington,51013,Sunrise Senior Living - Bluemont Park,Assisted Living,39,6,0
2020-12-18,2020-11-23,Outbreak in Progress,Arlington,51013,Sunrise Senior Living - Bluemont Park,Assisted Living,15,*,1
2020-12-18,2020-05-19,Outbreak Closed,Arlington,51013,Sunrise Senior Living - Arlington,Assisted Living,23,*,0
2020-12-18,2020-08-05,Outbreak Closed,Arlington,51013,Sunrise Senior Living - Arlington,Assisted Living,*,0,0
2020-12-18,2020-11-04,Outbreak in Progress,Arlington,51013,Sunrise Senior Living - Arlington,Assisted Living,13,0,1
2020-12-18,2020-04-04,Outbreak Closed,Arlington,51013,The Jefferson,Multicare,35,10,0
2020-12-18,2020-11-21,Outbreak in Progress,Arlington,51013,The Jefferson,Multicare,16,*,1
2020-12-18,2020-11-16,Outbreak in Progress,Augusta,51015,Augusta Health,Medical Facility,31,*,1
2020-12-18,2020-05-06,Outbreak Closed,Augusta,51015,Golden Gardens Residential Living,Assisted Living,*,0,0
2020-12-18,2020-12-03,Outbreak in Progress,Buena Vista City,51530,Shenandoah Valley Health and Rehab - Buena Vista,Multicare,34,*,1
2020-12-18,2020-04-08,Outbreak in Progress,Harrisonburg,51660,Accordius Health at Harrisonburg,Nursing Home,117,25,1
2020-12-18,2020-05-27,Outbreak Pending Closure,Harrisonburg,51660,Harrisonburg Health & Rehabilitation Center,Nursing Home,95,5,0
