"Administration Date",FIPS,Locality,"Health District","Facility Type","Vaccine Manufacturer","Dose Number","Vaccine Doses Administered Count"
2020-12-15,51161,"Roanoke County",Alleghany,Hospitals,Pfizer,1,5
2021-01-02,51003,Albemarle,"Blue Ridge","Federal LTCF Program",Pfizer,1,48
2021-02-09,51071,Giles,"New River",Pharmacies,Moderna,1,1
2021-02-02,51125,Nelson,"Blue Ridge","Other Community Health Providers",Moderna,2,9
2021-01-03,51145,Powhatan,Chesterfield,Hospitals,Pfizer,1,1
2021-01-18,51036,"Charles City",Chickahominy,"Federal LTCF Program",Pfizer,1,1
2021-02-04,51169,Scott,Lenowisco,"Other Community Health Providers",Pfizer,1,8
2021-02-04,51113,Madison,"Rappahannock Rapidan",Hospitals,Pfizer,1,1
2021-02-09,51063,Floyd,"New River","Local Health Departments",Moderna,1,17
2021-01-19,51075,Goochland,Chickahominy,"Federal LTCF Program",Pfizer,1,1
2021-01-12,51065,Fluvanna,"Blue Ridge",Hospitals,Pfizer,2,1
2021-01-26,51079,Greene,"Blue Ridge",Hospitals,Moderna,1,1
2021-01-09,51011,Appomattox,"Central Virginia","Other Community Health Providers",Pfizer,2,1
2021-01-12,51087,Henrico,Henrico,"Medical Practices",Pfizer,1,6
2021-02-04,51069,Frederick,"Lord Fairfax","Other Community Health Providers",Pfizer,1,1
2021-02-01,51153,"Prince William","Prince William","Federal LTCF Program",Pfizer,2,83
2021-01-29,51735,Poquoson,Peninsula,"Local Health Departments",Moderna,1,45
2021-02-10,51019,Bedford,"Central Virginia","Medical Practices",Pfizer,2,1
2021-02-03,51775,Salem,Alleghany,"Other Community Health Providers",Moderna,1,6
2021-01-07,"Not Reported","Not Reported","Not Reported","Medical Practices",Moderna,1,91
2020-12-28,51013,Arlington,Arlington,"Other Community Health Providers",Pfizer,1,1
2021-02-03,51161,"Roanoke County",Alleghany,"Federal LTCF Program",Pfizer,2,6
2021-02-04,"Out of State","Out of State","Out of State",Hospitals,Pfizer,1,49
2021-02-09,51019,Bedford,"Central Virginia","Other Community Health Providers",Pfizer,1,188
2021-01-19,51143,Pittsylvania,Pittsylvania-Danville,"Federal LTCF Program",Pfizer,2,10
2021-02-11,51650,Hampton,Hampton,"Medical Practices",Moderna,1,10
2021-01-01,51155,Pulaski,"New River","Medical Practices",Moderna,1,4
