"Administration Date",FIPS,Locality,"Health District","Facility Type","Vaccine Manufacturer","Dose Number","Vaccine Doses Administered Count"
12/15/2020,51161,"Roanoke County",Alleghany,Hospitals,Pfizer,1,5
02/09/2021,51071,Giles,"New River",Pharmacies,Moderna,1,1
01/02/2021,51003,Albemarle,"Blue Ridge","Federal LTCF Program",Pfizer,1,48
02/02/2021,51125,Nelson,"Blue Ridge","Other Community Health Providers",Moderna,2,9
01/03/2021,51145,Powhatan,Chesterfield,Hospitals,Pfizer,1,1
01/18/2021,51036,"Charles City",Chickahominy,"Federal LTCF Program",Pfizer,1,1
02/04/2021,51169,Scott,Lenowisco,"Other Community Health Providers",Pfizer,1,8
02/04/2021,51113,Madison,"Rappahannock Rapidan",Hospitals,Pfizer,1,1
01/12/2021,51065,Fluvanna,"Blue Ridge",Hospitals,Pfizer,2,1
01/19/2021,51075,Goochland,Chickahominy,"Federal LTCF Program",Pfizer,1,1
02/09/2021,51063,Floyd,"New River","Local Health Departments",Moderna,1,17
01/26/2021,51079,Greene,"Blue Ridge",Hospitals,Moderna,1,1
01/09/2021,51011,Appomattox,"Central Virginia","Other Community Health Providers",Pfizer,2,1
01/12/2021,51087,Henrico,Henrico,"Medical Practices",Pfizer,1,6
02/18/2021,51075,Goochland,Chickahominy,"Medical Practices",Moderna,2,2
02/04/2021,51069,Frederick,"Lord Fairfax","Other Community Health Providers",Pfizer,1,1
02/16/2021,51147,"Prince Edward",Piedmont,"Local Health Departments",Moderna,2,24
02/01/2021,51153,"Prince William","Prince William","Federal LTCF Program",Pfizer,2,83
01/29/2021,51735,Poquoson,Peninsula,"Local Health Departments",Moderna,1,55
02/10/2021,51019,Bedford,"Central Virginia","Medical Practices",Pfizer,2,1
02/03/2021,51775,Salem,Alleghany,"Other Community Health Providers",Moderna,1,6
02/03/2021,51161,"Roanoke County",Alleghany,"Federal LTCF Program",Pfizer,2,6
12/28/2020,51013,Arlington,Arlington,"Other Community Health Providers",Pfizer,1,1
01/07/2021,"Not Reported","Not Reported","Not Reported","Medical Practices",Moderna,1,91
02/04/2021,"Out of State","Out of State","Out of State",Hospitals,Pfizer,1,50
02/17/2021,51820,Waynesboro,"Central Shenandoah",Hospitals,Pfizer,2,273
02/17/2021,51145,Powhatan,Chesterfield,"Local Health Departments",Moderna,1,1
02/12/2021,51075,Goochland,Chickahominy,Hospitals,Pfizer,1,2
02/17/2021,51187,Warren,"Lord Fairfax","Medical Practices",Pfizer,2,3
02/15/2021,51105,Lee,Lenowisco,"Other Community Health Providers",Moderna,2,6
02/09/2021,51019,Bedford,"Central Virginia","Other Community Health Providers",Pfizer,1,188
01/19/2021,51143,Pittsylvania,Pittsylvania-Danville,"Federal LTCF Program",Pfizer,2,10
02/11/2021,51650,Hampton,Hampton,"Medical Practices",Moderna,1,10
02/16/2021,51131,Northampton,"Eastern Shore","Other Community Health Providers",Moderna,2,24
01/01/2021,51155,Pulaski,"New River","Medical Practices",Moderna,1,6
01/14/2021,51109,Louisa,"Blue Ridge",Hospitals,Moderna,1,18
02/09/2021,51520,Bristol,"Mount Rogers","Federal LTCF Program",Pfizer,2,3
01/05/2021,51071,Giles,"New River","Medical Practices",Moderna,1,2
12/29/2020,51017,Bath,"Central Shenandoah",Hospitals,Pfizer,1,2
01/29/2021,51021,Bland,"Mount Rogers",Pharmacies,Moderna,1,12
01/05/2021,51540,Charlottesville,"Blue Ridge","Medical Practices",Pfizer,1,1
01/12/2021,51113,Madison,"Rappahannock Rapidan","Other Community Health Providers",Pfizer,2,1
